marque,modèle,Puissance fiscale,Année,price,Carburant,Kilométrage
Ford,Kuga,8,2020,240000,Diesel,40000.0
Renault,Scenic,6,2008,60000,Diesel,380000.0
Peugeot,206,7,2001,47000,Diesel,374000.0
Volkswagen,Golf 7,8,2018,175000,Diesel,166000.0
Ford,Fiesta,6,2014,118000,Diesel,38400.0
Dacia,Sandero,6,2011,66000,Diesel,150000.0
Jaguar,Xe,8,2019,330000,Diesel,120000.0
Volkswagen,Golf 4,9,2003,85000,Diesel,270000.0
Renault,Clio,6,2016,105000,Diesel,200000.0
Citroen,C4,6,2009,74000,Diesel,205000.0
Opel,Grandland,6,2020,210000,Diesel,56000.0
Volkswagen,Polo,7,2010,85000,Essence,72500.0
Peugeot,407,8,2007,54000,Diesel,220000.0
Volkswagen,Caddy,7,2014,135000,Diesel,330000.0
Seat,Ibiza,6,2019,120000,Essence,96000.0
Fiat,Punto,5,2016,78000,Diesel,125000.0
Renault,Megane,6,2008,73000,Diesel,192000.0
Toyota,Corolla,5,2009,81000,Diesel,293700.0
Volkswagen,Cc,8,2009,137000,Diesel,160000.0
Peugeot,308,6,2010,80000,Diesel,167000.0
Renault,Megane,6,2013,110000,Diesel,144000.0
Audi,A6,12,2016,248000,Diesel,156000.0
Mercedes,Glc,9,2016,305000,Diesel,194000.0
Daihatsu,Sirion,6,2008,47000,Essence,200000.0
Volkswagen,Polo,6,2003,52000,Essence,240000.0
Jeep,Grand cherokee,12,2014,190000,Diesel,163000.0
Renault,Clio,6,2006,70000,Diesel,118000.0
Renault,Clio,6,2019,125000,Diesel,49800.0
Volkswagen,Passat,8,2009,96000,Diesel,300000.0
Alfa-romeo,159,8,2008,84000,Diesel,260000.0
Volkswagen,Touran,8,2017,215000,Diesel,200000.0
Dacia,Duster,6,2013,115000,Diesel,103000.0
Volkswagen,Golf 7,8,2013,150000,Diesel,150000.0
Kia,Sorento,10,2006,53000,Diesel,400.0
Mercedes,220,9,2011,145000,Diesel,200000.0
Toyota,Corolla,5,2016,135000,Diesel,170000.0
Audi,A3 berline,8,2019,290000,Diesel,72200.0
Suzuki,Celerio,6,2010,55000,Essence,160000.0
Honda,Accord,9,2011,108000,Diesel,216000.0
Dacia,Dokker,6,2019,88000,Diesel,52000.0
Kia,Picanto,6,2008,59000,Essence,250000.0
Renault,Megane,7,2012,98000,Diesel,182000.0
Fiat,Palio,7,2006,39000,Diesel,231050.0
Renault,Clio,6,2015,105000,Diesel,82500.0
Hyundai,Santa fe,9,2017,189000,Diesel,126000.0
Volkswagen,Jetta,8,2017,165000,Diesel,125000.0
Audi,A3 sportback,8,2006,81000,Diesel,280000.0
Honda,Civic,5,2000,29000,Essence,316000.0
Bmw,Serie 2 gran coupe,8,2021,390000,Diesel,75000.0
Honda,Accord,9,2014,125000,Diesel,223000.0
Volkswagen,Touran,6,2016,195000,Diesel,140000.0
Audi,A5 sportback,11,2010,135000,Essence,145196.0
Volkswagen,Touareg,12,2012,162000,Diesel,192000.0
Alfa-romeo,Giulietta,6,2020,210000,Diesel,27000.0
Hyundai,I40,7,2014,140000,Diesel,125000.0
Ford,Kuga,11,2019,205000,Diesel,100000.0
Volkswagen,Jetta,8,2017,160000,Diesel,130000.0
Alfa-romeo,Giulietta,6,2014,130000,Diesel,130000.0
Peugeot,308,8,2019,164000,Diesel,45000.0
Dacia,Logan,6,2018,117000,Diesel,67000.0
Renault,Clio,6,2016,115000,Diesel,134000.0
Mercedes,Classe c,9,2017,338000,Diesel,124000.0
Jeep,Grand cherokee,12,2017,225000,Diesel,95000.0
Volkswagen,Jetta,8,2018,172000,Diesel,74000.0
Opel,Astra,8,2012,110000,Diesel,280000.0
Audi,Q3,8,2017,240000,Diesel,35000.0
Volkswagen,Polo,8,2005,52000,Diesel,40999.0
Volkswagen,Tiguan,8,2014,190000,Diesel,250000.0
Audi,S5,10,2012,190000,Essence,155000.0
Dacia,Duster,7,2016,120000,Diesel,71200.0
Renault,Megane,7,2001,48000,Diesel,200000.0
Dacia,Dokker,6,2019,97000,Diesel,40000.0
Dacia,Duster,6,2020,165000,Diesel,141000.0
Ssangyong,Actyon,8,2008,100000,Diesel,121000.0
Dacia,Logan,6,2019,120000,Diesel,95000.0
Dacia,Logan,6,2008,63000,Diesel,230000.0
Hyundai,Accent,6,2015,120000,Diesel,107000.0
Dacia,Logan,6,2018,94000,Diesel,96000.0
Hyundai,I30,6,2017,155000,Diesel,100000.0
Volkswagen,Polo,6,2016,120000,Diesel,95000.0
Dacia,Logan,6,2018,98000,Diesel,13000.0
Peugeot,407,8,2009,70000,Diesel,200550.0
Hyundai,I40,7,2013,135000,Diesel,115000.0
Ford,Focus 5p,6,2004,48000,Diesel,145000.0
Nissan,Qashqai,6,2013,125000,Diesel,105000.0
Volkswagen,Caddy,6,2015,145000,Diesel,185000.0
Renault,Captur,6,2016,137000,Diesel,92000.0
Hyundai,I10,6,2016,70000,Essence,160000.0
Volkswagen,Touareg,12,2011,170000,Diesel,190000.0
Dacia,Sandero,6,2018,110300,Diesel,109318.0
Dacia,Logan,6,2021,89000,Essence,37000.0
Seat,Leon,7,2008,68000,Diesel,260000.0
Fiat,Fiorino,5,2018,97000,Diesel,90300.0
Renault,Clio,6,2017,125000,Diesel,109000.0
Toyota,Corolla,10,2019,193000,Hybride,96000.0
Mercedes,Classe c,10,1994,48000,Diesel,300000.0
Renault,Kangoo,7,2006,75000,Diesel,250000.0
Mercedes,Classe c,9,2016,380000,Diesel,139000.0
Volvo,S60,6,2016,142000,Diesel,240000.0
Volkswagen,Golf 7,6,2019,205000,Diesel,120000.0
Bmw,Serie 3,8,2013,195000,Diesel,197000.0
Bmw,Serie 5,8,2012,193000,Diesel,138500.0
Volkswagen,Gol,6,2008,35000,Essence,176000.0
Mercedes,Classe e,8,2018,370000,Diesel,110000.0
Volkswagen,Cc,8,2015,170000,Diesel,160000.0
Volkswagen,Cc,8,2017,190000,Diesel,156000.0
Citroen,Berlingo,7,2009,53000,Diesel,217000.0
Toyota,Auris,5,2014,120000,Diesel,127000.0
Volkswagen,Tiguan,8,2015,260000,Diesel,190000.0
Renault,Megane,6,2020,195000,Diesel,80000.0
Audi,Q3,8,2016,280000,Diesel,155113.0
Peugeot,206+,6,2011,65000,Diesel,183351.0
Ford,Focus 5p,7,2006,70000,Diesel,350000.0
Fiat,Siena,7,1999,32000,Diesel,330000.0
Mercedes,Classe c,9,2006,119000,Diesel,187000.0
Peugeot,301,7,2013,66000,Essence,154000.0
Audi,A3 sportback,8,2017,320000,Diesel,100000.0
Volkswagen,Tiguan,8,2020,370000,Diesel,35000.0
Volkswagen,Touran,8,2010,115000,Diesel,265000.0
Chevrolet,Cruze,8,2015,90000,Diesel,230000.0
Peugeot,Partner tepee,6,2014,95000,Diesel,177000.0
Renault,Clio,6,2019,120000,Diesel,120000.0
Renault,Clio,6,2018,125000,Diesel,78000.0
Renault,Megane,7,2022,280000,Diesel,30000.0
Volkswagen,Tiguan,8,2017,205000,Diesel,110000.0
Citroen,Berlingo,7,2007,55000,Diesel,214984.0
Peugeot,4008,6,2014,120000,Diesel,152000.0
Dacia,Sandero,6,2017,117000,Diesel,73000.0
Renault,Scenic,7,2013,108000,Diesel,157000.0
Dacia,Logan,6,2017,80000,Diesel,111000.0
Skoda,Octavia,8,2019,210000,Diesel,139000.0
Dacia,Duster,6,2013,100300,Diesel,186000.0
Renault,Scenic,6,2007,63000,Diesel,232000.0
Renault,Fluence,6,2011,82500,Diesel,150000.0
Fiat,Panda,5,2019,86000,Essence,96000.0
Fiat,Ducato,10,2021,210000,Diesel,30000.0
Citroen,C-elysee,6,2022,125000,Diesel,50000.0
Ford,Focus 5p,7,2002,59000,Diesel,300000.0
Nissan,Qashqai,6,2021,255000,Diesel,22000.0
Renault,Kangoo,6,2018,120000,Diesel,36000.0
Volkswagen,Touareg,12,2020,310000,Diesel,36000.0
Renault,Clio,6,2002,49000,Diesel,200000.0
Peugeot,3008,6,2011,101000,Diesel,186000.0
Toyota,Rav-4,8,2008,90000,Diesel,160000.0
Skoda,Octavia,8,2017,178000,Diesel,89900.0
Mercedes,250,10,1989,38000,Diesel,180000.0
Mercedes,Classe c,8,2008,140000,Diesel,250000.0
Peugeot,Bipper,6,2015,76000,Diesel,180000.0
Citroen,C6,17,2007,78000,Essence,206000.0
Mercedes,Classe c,9,2006,105000,Diesel,385274.0
Mercedes,190,8,1985,43000,Diesel,250000.0
Citroen,C4 picasso,8,2009,85000,Diesel,260000.0
Peugeot,3008,8,2017,210000,Diesel,101000.0
Renault,R19,8,1995,36000,Essence,350000.0
Dacia,Sandero,6,2011,67000,Diesel,125500.0
Jeep,Grand cherokee,60,2018,250000,Diesel,170000.0
Fiat,Tipo hatchback,6,2018,135000,Diesel,79500.0
Mercedes,Glc,9,2016,330000,Diesel,126000.0
Honda,Accord,9,2009,100000,Diesel,170000.0
Hyundai,Santa fe,9,2021,330000,Diesel,65000.0
Skoda,Yeti,8,2016,170000,Diesel,271000.0
Dacia,Logan,6,2017,90000,Diesel,150000.0
Renault,Koleos,8,2015,170000,Diesel,210000.0
Hyundai,Ix35,8,2011,115000,Diesel,141000.0
Audi,A3 sportback,6,2013,179000,Diesel,135000.0
Mercedes,Classe ml,11,2002,67000,Diesel,280000.0
Hyundai,Accent,6,2008,51000,Diesel,160000.0
Volkswagen,Bora,8,2000,55000,Diesel,300000.0
Volkswagen,Touareg,12,2011,150000,Diesel,200000.0
Ford,Fiesta,6,2017,110000,Diesel,110000.0
Nissan,Micra,6,2018,130000,Essence,95000.0
Audi,A6,11,2010,120000,Diesel,396952.0
Audi,A3 sportback,8,2007,85000,Diesel,200000.0
Opel,Astra,7,2015,135000,Diesel,87000.0
Renault,Clio,6,2020,127000,Diesel,69000.0
Fiat,Punto,5,2016,70000,Diesel,160000.0
Bmw,Serie 4 gran coupe,8,2015,280000,Diesel,189000.0
Peugeot,407,8,2007,57000,Diesel,290300.0
Renault,Clio,6,2017,99000,Diesel,90000.0
Hyundai,Tucson,11,2007,53000,Essence,112700.0
Renault,Clio,7,2012,79000,Essence,80000.0
Renault,R19,7,1994,48000,Diesel,263000.0
Kia,Picanto,6,2008,48000,Essence,170000.0
Toyota,Auris,8,2010,85000,Essence,156000.0
Citroen,Xsara,7,2001,42000,Diesel,382000.0
Peugeot,208,6,2018,108000,Diesel,152000.0
Volkswagen,Caddy,8,2021,200000,Diesel,35000.0
Dacia,Dokker,7,2018,110000,Diesel,80000.0
Chevrolet,Aveo,7,2005,37000,Essence,50000.0
Volkswagen,Passat,8,2008,85000,Diesel,240000.0
Volkswagen,Golf 7,6,2015,190000,Diesel,175000.0
Fiat,Siena,7,2001,35000,Diesel,340000.0
Peugeot,3008,8,2019,248000,Diesel,25000.0
Renault,Clio,6,2019,135000,Diesel,54000.0
Bmw,Serie 4 gran coupe,8,2019,295000,Diesel,580000.0
Citroen,C-elysee,6,2021,130000,Diesel,48000.0
Volkswagen,Golf 6,6,2011,129000,Diesel,186000.0
Hyundai,Santa fe,9,2010,75000,Diesel,182000.0
Mercedes,Classe b,6,2015,170000,Diesel,240000.0
Jaguar,Xf,17,2008,60000,Essence,170000.0
Ford,Focus 5p,6,2016,155000,Diesel,140000.0
Renault,Fluence,6,2016,150000,Diesel,50000.0
Dacia,Logan,6,2010,62000,Diesel,190000.0
Volkswagen,Golf 4,8,2002,80000,Diesel,340000.0
Volvo,V40,6,2015,155000,Diesel,142000.0
Renault,Megane,7,2013,100000,Diesel,198000.0
Renault,Megane,6,2011,95000,Diesel,260000.0
Mercedes,Slk,20,2007,80000,Essence,184000.0
Nissan,Qashqai,6,2016,167000,Diesel,140000.0
Renault,Megane,9,2001,33000,Essence,338000.0
Opel,Astra,7,2014,120000,Diesel,185000.0
Jaguar,Xe,8,2016,195000,Diesel,143000.0
Renault,Kangoo,6,2011,85000,Diesel,270000.0
Dacia,Duster,6,2013,100000,Diesel,157000.0
Peugeot,Partner,7,2007,65000,Diesel,263000.0
Volvo,Xc60,8,2017,255000,Diesel,160000.0
Kia,Picanto,6,2015,75000,Essence,87000.0
Renault,Captur,6,2020,195000,Diesel,139900.0
Opel,Astra,7,2011,103000,Diesel,144000.0
Renault,Clio,7,2012,70000,Essence,96000.0
Toyota,Corolla,8,2002,40000,Diesel,250000.0
Peugeot,307,8,2006,57999,Essence,200000.0
Opel,Insignia,8,2010,77000,Diesel,270000.0
Renault,Megane,6,2004,67000,Diesel,260000.0
Toyota,Corolla,8,2004,59000,Diesel,192000.0
Ford,Kuga,8,2014,150000,Diesel,218000.0
Nissan,Micra,8,2005,47000,Essence,160000.0
Volkswagen,Passat,8,2008,95000,Diesel,240000.0
Seat,Ibiza,6,2022,210000,Diesel,20000.0
Mercedes,Classe ml,12,2007,100000,Diesel,190000.0
Volkswagen,Passat,8,2017,193000,Diesel,110000.0
Fiat,Punto,6,2017,92000,Diesel,60000.0
Volkswagen,Jetta,5,2016,160000,Diesel,59000.0
Alfa-romeo,Giulietta,8,2019,190000,Diesel,76000.0
Ford,Fiesta,6,2010,68000,Essence,253000.0
Peugeot,301,6,2021,115000,Diesel,60000.0
Dacia,Duster,6,2018,150000,Diesel,70000.0
Volkswagen,Golf 7,6,2015,180000,Diesel,158000.0
Dacia,Logan,6,2011,66000,Diesel,181000.0
Bmw,Serie 3,8,2005,90000,Diesel,265750.0
Honda,Civic,9,1996,30000,Essence,447000.0
Peugeot,508,6,2012,115000,Diesel,300000.0
Kia,Sportage,8,2009,70000,Diesel,200000.0
Renault,Scenic,6,2011,94000,Diesel,130000.0
Hyundai,Tucson,6,2022,355000,Diesel,16000.0
Mercedes,Classe c,9,2016,269000,Diesel,180000.0
Hyundai,Accent,6,2016,119000,Diesel,83474.0
Volkswagen,Tiguan,8,2015,176000,Diesel,240000.0
Dacia,Dokker,6,2016,98000,Diesel,162000.0
Mini,Cabrio,9,2006,135000,Essence,69000.0
Dacia,Logan,6,2009,60000,Diesel,189000.0
Ford,Focus 5p,6,2010,85000,Diesel,250000.0
Renault,Fluence,6,2012,110000,Diesel,42000.0
Hyundai,Tucson,7,2017,230000,Diesel,157000.0
Ford,Focus 4p,7,2013,121000,Diesel,158000.0
Bmw,Serie 1,11,2008,65000,Essence,180000.0
Land-rover,Range rover evoque,9,2013,235000,Diesel,180000.0
Nissan,Qashqai,5,2019,230000,Diesel,60000.0
Fiat,Palio,7,2001,33000,Essence,24800.0
Bmw,Serie 3,8,2021,348000,Diesel,42000.0
Alfa-romeo,147,8,2002,45000,Diesel,227000.0
Dacia,Dokker,6,2020,98000,Diesel,60000.0
Volkswagen,Polo,7,2013,90000,Essence,150000.0
Volvo,S60,8,2019,205000,Diesel,74800.0
Hyundai,Tucson,6,2022,293000,Diesel,30000.0
Volkswagen,Tiguan,8,2020,290000,Diesel,121000.0
Opel,Corsa,6,2021,165000,Diesel,15000.0
Renault,Fluence,6,2010,88000,Diesel,180000.0
Toyota,Corolla verso,9,2009,85000,Diesel,81000.0
Bmw,Serie 5,8,2012,210000,Diesel,90000.0
Dacia,Logan,7,2014,86000,Diesel,100000.0
Mitsubishi,L200,8,2021,175000,Diesel,18000.0
Renault,Scenic,6,2014,120000,Diesel,99000.0
Dacia,Logan,8,2006,40000,Essence,120000.0
Volkswagen,Passat,8,2003,55500,Diesel,390000.0
Nissan,Qashqai,6,2016,175000,Diesel,133000.0
Fiat,Punto,5,2013,82000,Diesel,167000.0
Renault,Megane,7,2001,50000,Diesel,30000.0
Audi,A4,8,2015,148000,Diesel,220000.0
Peugeot,407,11,2006,30000,Essence,200000.0
Peugeot,Partner,7,2004,53000,Diesel,200000.0
Alfa-romeo,Giulietta,8,2018,175000,Diesel,95000.0
Peugeot,407,6,2009,80000,Diesel,290000.0
Jeep,Renegade,6,2022,230000,Diesel,26000.0
Audi,A3 sportback,8,2017,320000,Diesel,150000.0
Renault,Clio,6,2003,55000,Diesel,200000.0
Renault,Laguna,6,2008,70000,Diesel,288000.0
Ssangyong,Kyron,8,2006,70000,Diesel,199999.0
Bmw,Serie 3,9,1992,40000,Essence,310000.0
Hyundai,I30,6,2021,230000,Diesel,20400.0
Peugeot,308,6,2008,70000,Diesel,216000.0
Bmw,Serie 3,8,2017,235000,Diesel,93000.0
Kia,Sportage,8,2015,153000,Diesel,130000.0
Opel,Adam,6,2018,145000,Essence,19700.0
Dacia,Logan,6,2014,78000,Diesel,143000.0
Fiat,500,5,2017,107000,Diesel,40000.0
Ds,Ds5,6,2017,190000,Diesel,63000.0
Hyundai,I30,6,2010,87000,Diesel,147000.0
Dacia,Logan,7,2020,120000,Diesel,80000.0
Nissan,X trail,9,2009,63000,Diesel,272000.0
Mercedes,Classe c,9,2008,130000,Diesel,290000.0
Dacia,Dokker,6,2018,85000,Diesel,199000.0
Fiat,Grande punto,5,2013,68000,Diesel,250000.0
Ford,C max,6,2012,135000,Diesel,190000.0
Renault,Clio,6,2016,97000,Diesel,190000.0
Peugeot,308,8,2008,65000,Essence,140000.0
Hyundai,Accent,6,2007,55000,Diesel,300000.0
Renault,Clio,6,2017,109000,Diesel,45000.0
Volkswagen,Golf 4,8,2001,60000,Diesel,130000.0
Toyota,Rav-4,9,2010,90000,Diesel,292000.0
Hyundai,Ix35,6,2014,165000,Diesel,150000.0
Renault,Laguna,8,2010,80000,Diesel,250000.0
Volkswagen,Jetta,8,2018,169000,Diesel,76000.0
Jeep,Grand cherokee,12,2017,220000,Diesel,113000.0
Renault,Clio,6,2015,94000,Diesel,154000.0
Peugeot,2008,6,2019,162000,Diesel,61000.0
Ford,Fiesta,7,2010,75000,Essence,99000.0
Skoda,Octavia,8,2015,160000,Diesel,169000.0
Fiat,Fiorino,6,2019,95000,Diesel,150000.0
Dacia,Duster,6,2013,113000,Diesel,215000.0
Ford,Fiesta,6,2017,93000,Diesel,145672.0
Ford,Focus 4p,6,2015,140000,Diesel,170000.0
Renault,Fluence,6,2011,78000,Diesel,171000.0
Ford,Focus 5p,7,2006,74000,Diesel,211000.0
Opel,Corsa,7,2007,55000,Essence,200000.0
Citroen,Xsara,7,2002,43000,Diesel,179000.0
Volkswagen,Tiguan,8,2018,350000,Diesel,199514.0
Seat,Ibiza,6,2015,96000,Diesel,120000.0
Audi,A3 sportback,8,2008,69000,Diesel,200000.0
Renault,Megane,7,2010,90000,Diesel,190000.0
Citroen,Berlingo,7,2010,60000,Diesel,247800.0
Renault,Clio,6,2021,153000,Diesel,15800.0
Lancia,Ypsilon,6,2013,90000,Diesel,83000.0
Audi,A6,12,2013,177000,Diesel,100000.0
Alfa-romeo,Giulia,9,2020,330000,Diesel,100000.0
Fiat,Palio,7,2002,35000,Diesel,253540.0
Dacia,Duster,6,2015,120000,Diesel,83000.0
Hyundai,Ix35,7,2014,160000,Diesel,111000.0
Renault,Clio,6,2018,117000,Diesel,117510.0
Suzuki,Alto,5,2007,31000,Essence,190000.0
Peugeot,207,6,2009,73000,Diesel,265000.0
Mercedes,Classe a,6,2014,170000,Diesel,180000.0
Hyundai,Accent,6,2014,105000,Diesel,112000.0
Citroen,C5,8,2017,130000,Diesel,90000.0
Citroen,C3 aircross,6,2020,115000,Diesel,76000.0
Peugeot,107,5,2010,58000,Essence,159000.0
Audi,A3 sportback,6,2014,210000,Diesel,220000.0
Opel,Astra,6,2019,180000,Diesel,48000.0
Opel,Corsa,6,2020,150000,Diesel,26000.0
Volkswagen,Touareg,10,2005,67000,Diesel,168000.0
Ford,Kuga,8,2015,145000,Diesel,151000.0
Honda,Civic,9,2002,53000,Essence,262000.0
Volkswagen,Golf 6,8,2010,112000,Diesel,300155.0
Opel,Astra,6,2021,210000,Diesel,49000.0
Fiat,500,7,2019,128000,Diesel,60000.0
Citroen,Berlingo,7,2010,50000,Diesel,200000.0
Mercedes,Gla,9,2020,370000,Diesel,40000.0
Peugeot,3008,8,2019,250000,Diesel,87000.0
Honda,Cr-v,8,2014,155000,Diesel,140000.0
Hyundai,Accent,6,2005,42000,Diesel,338000.0
Ssangyong,Korando,8,2014,93000,Diesel,130000.0
Skoda,Superb,8,2018,210000,Diesel,75000.0
Nissan,Note,6,2013,84000,Diesel,120000.0
Land-rover,Range rover evoque,9,2012,190000,Diesel,137000.0
Renault,Clio,7,2000,45000,Diesel,233000.0
Volkswagen,Tiguan,8,2010,143000,Diesel,240000.0
Toyota,Corolla verso,8,2005,65000,Diesel,218000.0
Land-rover,Range rover sport,12,2012,200000,Diesel,247000.0
Citroen,Jumper,9,2019,170000,Diesel,100000.0
Audi,Q5,8,2019,380000,Diesel,110000.0
Peugeot,308,6,2018,145000,Diesel,110000.0
Volkswagen,Golf 7,8,2014,166000,Diesel,194000.0
Toyota,Yaris cross,7,2022,260000,Hybride,17000.0
Renault,Scenic,6,2005,67000,Diesel,240000.0
Ssangyong,Korando,12,1998,60000,Diesel,172300.0
Peugeot,208,6,2018,109000,Diesel,94000.0
Renault,Kadjar,6,2021,230000,Diesel,42570.0
Ssangyong,Rexton,12,2006,32000,Diesel,200000.0
Volkswagen,Passat,8,2007,92000,Diesel,305000.0
Ford,Focus 5p,7,2008,75000,Diesel,171000.0
Seat,Ibiza,8,2005,45000,Diesel,230000.0
Mercedes,Classe s,12,2013,260000,Diesel,200000.0
Nissan,X trail,8,2009,90000,Diesel,270000.0
Audi,Q3,8,2016,190000,Diesel,240000.0
Dacia,Sandero,6,2014,103000,Diesel,58000.0
Bmw,X1,8,2011,152000,Diesel,162000.0
Bmw,Serie 5,8,2013,200000,Diesel,200000.0
Bmw,Serie 5,10,2007,85000,Diesel,300000.0
Ford,C max,6,2014,130000,Diesel,170000.0
Volkswagen,Passat,8,2009,110000,Diesel,240000.0
Renault,Scenic,6,2006,66000,Diesel,150000.0
Renault,Kangoo,6,2016,105000,Diesel,320000.0
Audi,A3 sportback,6,2014,140000,Diesel,111000.0
Kia,Picanto,6,2017,78000,Essence,117000.0
Volkswagen,Coccinelle,8,2018,230000,Diesel,90000.0
Volkswagen,Golf 5,8,2005,78000,Diesel,213000.0
Fiat,Punto,7,2006,52000,Essence,187000.0
Mercedes,Classe c,9,1999,88000,Diesel,270000.0
Peugeot,407,8,2006,57000,Diesel,290000.0
Abarth,595 competizione 180ch,9,2017,170000,Essence,55000.0
Hyundai,I10,6,2018,85000,Essence,100000.0
Land-rover,Discovery sport,8,2018,255000,Diesel,139000.0
Bmw,Serie 1,8,2009,105000,Diesel,220000.0
Ford,Focus 5p,6,2016,150000,Diesel,165000.0
Ford,Kuga,8,2013,152000,Diesel,170000.0
Seat,Leon,8,2008,48000,Essence,200000.0
Dacia,Sandero,6,2019,127000,Diesel,56000.0
Skoda,Octavia,8,2016,150000,Diesel,114000.0
Hyundai,I10,5,2014,70000,Essence,130000.0
Nissan,Qashqai,6,2014,105000,Diesel,137000.0
Hyundai,Tucson,8,2007,62000,Diesel,240000.0
Dacia,Sandero,6,2013,74500,Diesel,170000.0
Mercedes,Classe ml,12,2002,33000,Diesel,350000.0
Ford,Fiesta,7,2014,80000,Essence,137000.0
Ford,Connect,6,2015,114000,Diesel,115000.0
Gaz,Next van,2,2022,210000,Diesel,53000.0
Peugeot,208,6,2020,130000,Diesel,174000.0
Honda,City,8,2004,53000,Essence,300000.0
Land-rover,Range rover evoque,9,2013,200000,Diesel,138000.0
Renault,R19,7,1995,54000,Diesel,295000.0
Fiat,Brava,9,1999,27000,Essence,225000.0
Volkswagen,Golf 7,8,2019,175000,Diesel,107000.0
Audi,Q2,8,2018,250000,Diesel,63000.0
Citroen,C-elysee,7,2013,90000,Diesel,190000.0
Audi,A3 sportback,8,2003,70000,Diesel,290000.0
Volkswagen,Touareg,11,2013,149000,Diesel,198000.0
Ford,Fiesta,6,2018,115000,Diesel,85000.0
Ford,Focus 5p,6,2011,95000,Diesel,220000.0
Volkswagen,Golf 7,8,2014,130000,Diesel,200000.0
Mercedes,Cls,20,2006,78000,Essence,128000.0
Renault,Kangoo,6,2017,86000,Diesel,78000.0
Volvo,Xc60,8,2011,130000,Diesel,199000.0
Mercedes,190,8,1992,55000,Diesel,500000.0
Opel,Astra,6,2015,112000,Diesel,130000.0
Mercedes,190,9,1992,65000,Diesel,300000.0
Volkswagen,Passat,8,2012,125000,Diesel,260000.0
Mercedes,220,8,2003,105000,Diesel,210700.0
Mercedes,Classe e,9,2011,180000,Diesel,248000.0
Bmw,Serie 1,8,2009,115000,Diesel,115000.0
Bmw,Serie 1,8,2018,280000,Diesel,99000.0
Renault,Kangoo,6,2014,75000,Diesel,199000.0
Volkswagen,Touareg,12,2016,185000,Diesel,150000.0
Hyundai,I30,6,2017,125000,Diesel,158000.0
Ford,Fiesta,7,2008,53000,Essence,150000.0
Skoda,Octavia,8,2021,234000,Diesel,29000.0
Mercedes,Classe b,7,2014,195000,Diesel,217000.0
Renault,Clio,6,2018,132000,Diesel,65000.0
Mercedes,Classe c,9,2008,140000,Diesel,206000.0
Skoda,Octavia,8,2011,100000,Diesel,355000.0
Bmw,Serie 5,9,2012,195000,Diesel,180000.0
Suzuki,Grand vitara,7,2010,85000,Diesel,250000.0
Hyundai,Accent,6,2021,180000,Diesel,30000.0
Ford,C max,6,2017,167500,Diesel,105000.0
Volkswagen,Golf 6,6,2011,85000,Diesel,132000.0
Renault,Clio,7,2007,65000,Essence,150000.0
Peugeot,206,6,2007,45000,Essence,180000.0
Bmw,Serie 4 gran coupe,8,2017,260000,Diesel,85411.0
Opel,Astra,8,2016,138000,Diesel,56200.0
Volkswagen,Golf 7,8,2013,176000,Diesel,260000.0
Mercedes,Classe c,9,2014,315000,Diesel,200000.0
Dacia,Logan,6,2018,108000,Diesel,68000.0
Mazda,3,9,2016,109000,Essence,150000.0
Opel,Astra,7,2014,110000,Diesel,134000.0
Mini,One,7,2018,175000,Essence,38000.0
Hyundai,Tucson,7,2017,230000,Diesel,70800.0
Porsche,Cayenne,12,2013,280000,Diesel,200000.0
Citroen,C4 spacetourer,6,2020,183000,Diesel,49000.0
Bmw,X5,11,2006,65000,Diesel,250000.0
Renault,Fluence,6,2010,82000,Diesel,180000.0
Skoda,Rapid,6,2013,106000,Diesel,170000.0
Volkswagen,Cc,8,2011,130000,Diesel,240000.0
Seat,Ibiza,6,2014,120009,Diesel,190000.0
Ford,Fiesta,7,2008,53000,Essence,160000.0
Volkswagen,Cc,8,2012,110000,Diesel,290000.0
Hyundai,I10,6,2013,62000,Essence,112000.0
Peugeot,207,6,2008,68000,Diesel,175000.0
Mercedes,Classe c,9,2002,83000,Diesel,300000.0
Jaguar,F-pace,8,2017,330000,Diesel,320000.0
Citroen,C-elysee,7,2017,60000,Essence,200000.0
Ford,Fusion,8,2019,220000,Diesel,120000.0
Honda,Accord,13,2008,69000,Essence,20000000.0
Dacia,Logan,6,2014,88000,Diesel,200000.0
Seat,Leon,7,2013,130000,Diesel,180000.0
Volkswagen,Tiguan,8,2017,270000,Diesel,180000.0
Jeep,Grand cherokee,12,2017,220000,Diesel,65400.0
Dacia,Duster,6,2013,97000,Diesel,230000.0
Renault,Kangoo,6,2017,130000,Diesel,138900.0
Kia,Rio,6,2015,98000,Diesel,100000.0
Volkswagen,Jetta,8,2020,185000,Diesel,98000.0
Dacia,Logan,6,2018,108000,Diesel,64000.0
Nissan,Qashqai,6,2017,185000,Diesel,180000.0
Ford,Focus 4p,6,2017,158000,Diesel,120000.0
Ford,Mondeo,8,2003,40000,Diesel,223000.0
Kia,Rio,8,2020,126000,Essence,21670.0
Seat,Ibiza,6,2015,110000,Diesel,110000.0
Bmw,X3,8,2016,250000,Diesel,70000.0
Opel,Astra,6,2019,179000,Diesel,127000.0
Renault,Clio,7,2002,54000,Diesel,213000.0
Peugeot,508,8,2021,289000,Diesel,45000.0
Mini,Cooper,7,2014,180000,Diesel,91000.0
Dacia,Sandero,6,2021,135000,Diesel,24000.0
